work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
W0041,PS00083,PS,83,en,AG0137,,Original publication 1896,,2017-09-27,MG,2020-04-05,DP
W0042,PS00084,PS,84,en,AG0117,,Translated by project member,,2017-09-29,MG,2020-04-05,DP
W0043,PS00085,PS,85,en,AG0139,,Original publication 1863,,2017-09-29,MG,2020-04-05,DP
W0044,PS00087,PS,87,en,AG0150,,,,2018-04-18,MG,2020-04-05,DP
W0045,PS00088,PS,88,en,AG0170,,,,2017-12-23,OS,2020-04-05,DP
W0046,PS00089,PS,89,en,AG0167,,,,2017-12-23,OS,2020-04-05,DP
W0047,PS00090,PS,90,en,AG0168,,,,2018-04-25,MG,2020-04-05,DP
W0048,PS00091,PS,91,en,AG0169,,,,2018-04-25,MG,2020-04-05,DP
W0049,PS00092,PS,92,en,AG0630,,,,2018-04-25,MG,2020-04-05,DP
W0050,PS00093,PS,93,de,AG0157,,,,2018-04-25,MG,2020-04-05,DP
W0051,PS00094,PS,94,de,AG0157,,,,2018-04-25,MG,2020-04-05,DP
W0052,PS00095,PS,95,de,AG0157,,,,2018-04-25,MG,2020-04-05,DP
W0053,PS00096,PS,96,en,AG0158,,,,2018-04-25,MG,2020-04-05,DP
W0054,PS00097,PS,97,en,AG0159,,,,2018-04-25,MG,2020-04-05,DP
W0055,PS00098,PS,98,en,AG0162,,,,2018-04-25,MG,2020-04-05,DP
W0056,PS00099,PS,99,en,AG0161,,,,2018-04-25,MG,2020-04-05,DP
W0057,PS00100,PS,100,en,AG0163,,,,2018-04-25,MG,2020-04-05,DP
W0058,PS00101,PS,101,en,AG0160,,,,2018-04-25,MG,2020-04-05,DP
W0059,PS00102,PS,102,en,AG0155,,This is the title Song Yongyi assumes was the original. It could also be Khrushchev Remembers: The last testament.,,2017-10-08,MG,2020-04-05,DP
W0060,PS00105,PS,105,en,AG0152,,,,2017-10-08,MG,2020-04-05,DP
W0061,PS00106,PS,106,en,AG0138,,,,2017-10-08,MG,2020-04-05,DP
W0062,PS00107,PS,107,en,AG0138,,,,2017-10-08,MG,2020-04-05,DP
W0063,PS00121,PS,121,en,AG0164,,,,2017-12-14,MG,2020-04-05,DP
W0064,PS00122,PS,122,en,AG0165,,,,2017-12-14,MG,2020-04-05,DP
W0065,PS00125,PS,125,en,AG0166,,,,2017-12-19,MG,2020-04-05,DP
W0066,PS00126,PS,126,en,AG0626,,,,2017-12-19,MG,2020-04-05,DP
W0067,PS00164,PS,164,en,AG0001,,,,2018-01-29,MG,2020-04-05,DP
W0068,PS00168,PS,168,en,AG0204,,,,2018-02-02,OS,2020-04-05,DP
W0069,PS00180,PS,180,en,AG0441,,,,2018-01-23,OS,2020-04-05,DP
W0070,PS00181,PS,181,en,AG0441,,Vol.1-4 1962-1964 and  vol.3-4 1979,,2018-01-23,OS,2020-04-05,DP
W0071,PS00182,PS,182,en,AG0442,,,,2018-01-24,OS,2020-04-05,DP
W0072,PS00183,PS,183,en,AG0443,,Translated by project member,,2018-01-24,OS,2020-04-05,DP
W0073,PS00184,PS,184,en,AG0443,,Translated by project member,,2018-01-24,OS,2020-04-05,DP
W0074,PS00186,PS,186,de,AG0444,,there were many editions of this work before and after the founding of the PRC,,2018-01-24,OS,2020-04-05,DP
W0075,PS00187,PS,187,de,AG0444,,,,2018-01-24,OS,2020-04-05,DP
W0076,PS00188,PS,188,en,AG0445,,,,2018-01-25,OS,2020-04-05,DP
W0077,PS00191,PS,191,en,AG0168,,,,2018-01-25,OS,2020-04-05,DP
W0078,PS00194,PS,194,en,AG0207,,,,2018-02-02,OS,2020-04-05,DP
W0079,PS00198,PS,198,en,AG0208,,,,2018-02-05,OS,2020-04-05,DP
W0080,PS00199,PS,199,en,AG0209,,,,2018-02-05,OS,2020-04-05,DP
W0081,PS00200,PS,200,en,AG0209,,,,2018-02-05,OS,2020-04-05,DP
W0082,PS00201,PS,201,en,AG0210,,It seems that there was no early PRC edition of the Canon.,,2018-02-05,OS,2020-04-05,DP
W0083,PS00202,PS,202,de,AG0211,,,,2018-02-06,OS,2020-04-05,DP
W0084,PS00203,PS,203,fr,AG0212,,An early PRC edition could not be found,,2018-02-06,OS,2020-04-05,DP
W0085,PS00206,PS,206,en,AG0023,,written in 1967. not officially published,,2018-02-09,OS,2020-04-05,DP
W0086,PS00207,PS,207,en,AG0154,,,,2018-02-11,OS,2020-04-05,DP
W0087,PS00208,PS,208,en,AG0070,,never officially published?,,2018-02-11,OS,2020-04-05,DP
W0088,PS00209,PS,209,en,AG0216,,,,2018-02-11,OS,2020-04-05,DP
W0089,PS00210,PS,210,fr,AG0217,,,,2018-02-11,OS,2020-04-05,DP
W0090,PS00211,PS,211,zh,AG0012,,circulation started in the early 1970s probably 1972,,2018-02-12,OS,2020-04-05,DP
W0091,PS00212,PS,212,fr,AG0218,,Not part of the neibu translations. Published in 1897 and forbidden after 1949,,2018-02-12,OS,2020-04-05,DP
W0092,PS00213,PS,213,en,AG0100,,It exists a neibu edition from 1959 (published in Shanghai wenyi chubanshe). In how far these two editions differ remains unclear.,,2018-02-12,OS,2020-04-05,DP
W0093,PS00215,PS,215,en,AG0219,,Translator seems to have access to the  original long before publication date of the Chinese translations,,2018-02-13,OS,2020-04-05,DP
W0094,PS00217,PS,217,de,AG0222,,,,2018-02-13,OS,2020-04-05,DP
W0095,PS00218,PS,218,en,AG0224,,,,2018-02-13,OS,2020-04-05,DP
W0096,PS00219,PS,219,en,AG0225,,,,2018-02-13,OS,2020-04-05,DP
W0097,PS00220,PS,220,en,AG0226,,Based on the first spanish edition of 1968,,2018-02-13,OS,2020-04-05,DP
W0098,PS00221,PS,221,en,AG0227,,First published 1963 in Colombo,,2018-02-13,OS,2020-04-05,DP
W0099,PS00222,PS,222,en,AG0019,,The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0100,PS00223,PS,223,en,AG0019,,Translated by project member. The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0101,PS00224,PS,224,en,AG0019,,The poem was written in 1968,,2018-02-13,OS,2020-04-05,DP
W0102,PS00225,PS,225,en,AG0019,,The poems were written between 1965-1968,,2018-02-13,OS,2020-04-05,DP
W0103,PS00226,PS,226,zh,AG0229,,The poems were written between 1960-1962,,2018-02-13,OS,2020-04-05,DP
W0104,PS00227,PS,227,en,AG0230,,,,2018-02-14,OS,2020-04-05,DP
W0105,PS00228,PS,228,en,AG0231,,,,2018-02-14,OS,2020-04-05,DP
W0106,PS00229,PS,229,en,AG0232,,One of the poems which captured the atmosphere among leaving Zhiqing the best,,2018-02-14,OS,2020-04-05,DP
W0107,PS00230,PS,230,zh,AG0232,,,,2018-02-14,OS,2020-04-05,DP
W0108,PS00231,PS,231,en,AG0233,,,,2018-02-14,OS,2020-04-05,DP
W0109,PS00232,PS,232,en,AG0234,,,,2018-02-14,OS,2020-04-05,DP
W0110,PS00233,PS,233,en,AG0235,,Chen Danqing claims that this book was popular among Zhiqing. We however could not find an earlier Chinese edition than 1981.,,2018-02-14,OS,2020-04-05,DP
W0111,PS00234,PS,234,en,AG0236,,,,2018-02-14,OS,2020-04-05,DP
W0112,PS00236,PS,236,en,AG0237,,,,2018-02-15,OS,2020-04-05,DP
W0113,PS00237,PS,237,en,AG0238,,Translated from French by Huang Yushi 黄雨石,,2018-02-15,OS,2020-04-05,DP
W0114,PS00239,PS,239,en,AG0240,,,,2018-02-16,OS,2020-04-05,DP
W0115,PS00241,PS,241,en,AG0204,,Translated by 张志强 and 陈世民,,2018-02-16,OS,2020-04-05,DP
W0116,PS00242,PS,242,en,AG0241,,,,2018-02-16,OS,2020-04-05,DP
W0117,PS00243,PS,243,en,AG0243,,,,2018-02-16,OS,2020-04-05,DP
W0118,PS00244,PS,244,en,AG0244,,among the first neibu publications from the 1970s,,2018-02-19,OS,2020-04-05,DP
W0119,PS00245,PS,245,ru,AG0244,,among the first neibu publications from the 1970s,,2018-02-19,OS,2020-04-05,DP
W0120,PS00246,PS,246,en,AG0245,,,,2018-02-19,OS,2020-04-05,DP
W0121,PS00247,PS,247,en,AG0246,,Gao Hua mentioned that this book was translated into Chinese in Shanghai in the late 1940s. Worldcat records an early edition with 1946 as the conceivable date of publication. Except for the translator 勤宣 no further details are given though.,,2018-02-19,OS,2020-04-05,DP
W0122,PS00248,PS,248,en,AG0247,,,,2018-02-19,OS,2020-04-05,DP
W0123,PS00249,PS,249,en,AG0158,,Original date of publication: 1917,,2018-02-20,OS,2020-04-05,DP
W0124,PS00250,PS,250,en,AG0248,,,,2018-02-27,OS,2020-04-05,DP
W0125,PS00252,PS,252,en,AG0251,,,,2018-02-28,OS,2020-04-05,DP
W0126,PS00253,PS,253,en,AG0254,,First published in a newspaper. Printed as a book in 1979.,,2018-02-28,OS,2020-04-05,DP
W0127,PS00254,PS,254,en,AG0256,,,,2018-03-06,MG,2020-04-05,DP
W0128,PS00255,PS,255,en,AG0256,,,,2018-03-06,MG,2020-04-05,DP
W0129,PS00257,PS,257,en,AG0001,,,,2018-03-09,MG,2020-04-05,DP
W0130,PS00258,PS,258,en,AG0261,,,,2018-03-09,MG,2020-04-05,DP
W0131,PS00259,PS,259,en,AG0262,,First translated into English as All Men are Brothers by Pearl S. Buck,,2018-03-12,MG,2020-04-05,DP
W0132,PS00260,PS,260,en,AG0263,,,,2018-03-12,MG,2020-04-05,DP
W0133,PS00261,PS,261,fr,AG0264,,,,2018-03-12,MG,2020-04-05,DP
W0134,PS00263,PS,263,en,AG0266,,,,2018-03-13,MG,2020-04-05,DP
W0135,PS00264,PS,264,en,AG0270,,a textbook that Wu had from Manchester college days,,2018-03-13,MG,2020-04-05,DP
W0136,PS00266,PS,266,en,AG0274,,,,2018-03-13,MG,2020-04-05,DP
W0137,PS00267,PS,267,en,AG0273,,,,2018-03-13,MG,2020-04-05,DP
W0138,PS00268,PS,268,en,AG0272,,,,2018-03-13,MG,2020-04-05,DP
W0139,PS00269,PS,269,en,AG0266,,,,2018-03-13,MG,2020-04-05,DP
W0140,PS00270,PS,270,en,AG0271,,The Story of Doctor Norman Bethune,,2018-03-13,MG,2020-04-05,DP
W0141,PS00271,PS,271,en,AG0275,,,,2018-03-17,WH,2020-04-05,DP
W0142,PS00272,PS,272,zh,AG0278,,,,2018-03-28,WH,2020-04-05,DP
W0143,PS00273,PS,273,en,AG0279,,,,2018-03-28,WH,2020-04-05,DP
W0144,PS00274,PS,274,en,AG0212,,It was also translated as 续侠隐记.,,2018-04-06,WH,2020-04-05,DP
W0145,PS00275,PS,275,en,AG0212,,,,2018-04-11,WH,2020-04-05,DP
W0146,PS00276,PS,276,en,AG0280,,,,2018-04-11,WH,2020-04-05,DP
W0147,PS00290,PS,290,en,AG0232,,,,2018-03-17,MG,2020-04-05,DP
W0148,PS00291,PS,291,zh,AG0232,,,,2018-03-17,MG,2020-04-05,DP
W0149,PS00292,PS,292,en,AG0283,,,,2018-03-17,MG,2020-04-05,DP
W0150,PS00297,PS,297,fr,AG0090,,,,2018-03-23,MG,2020-04-05,DP
W0151,PS00298,PS,298,en,AG0292,,,,2018-03-27,MG,2020-04-05,DP
W0152,PS00299,PS,299,en,AG0293,,,,2018-03-27,MG,2020-04-05,DP
W0153,PS00300,PS,300,en,AG0294,,also known as ‘The Nineteen’,,2018-03-27,MG,2020-04-05,DP
W0154,PS00301,PS,301,en,AG0150,,,,2018-03-27,MG,2020-04-05,DP
W0155,PS00307,PS,307,en,AG0297,,,,2018-04-03,MG,2020-04-05,DP
W0156,PS00309,PS,309,en,AG0299,,,,2018-04-03,MG,2020-04-05,DP
W0157,PS00310,PS,310,en,AG0299,,,,2018-04-03,MG,2020-04-05,DP
W0158,PS00311,PS,311,en,AG0300,,,,2018-04-05,MG,2020-04-05,DP
W0159,PS00328,PS,328,en,AG0308,,,,2018-04-13,MG,2020-04-05,DP
W0160,PS00330,PS,330,en,AG0285,,,,2018-04-13,MG,2020-04-05,DP
W0161,PS00331,PS,331,en,AG0285,,,,2018-04-13,MG,2020-04-05,DP
W0162,PS00332,PS,332,en,AG0285,,,,2018-04-13,MG,2020-04-05,DP
W0163,PS00333,PS,333,en,AG0309,,,,2018-04-13,MG,2020-04-05,DP
W0164,PS00334,PS,334,en,AG0311,,,,2018-05-07,MG,2020-04-05,DP
W0165,PS00335,PS,335,en,AG0312,,,,2018-05-08,MG,2020-04-05,DP
W0166,PS00336,PS,336,en,AG0312,,,,2018-05-08,MG,2020-04-05,DP
W0167,PS00337,PS,337,en,AG0313,,,,2018-05-08,MG,2020-04-05,DP
W0168,PS00338,PS,338,en,AG0314,,,,2018-05-08,MG,2020-04-05,DP
W0169,PS00339,PS,339,zh,AG0317,,,,2018-05-14,MG,2020-04-05,DP
W0170,PS00340,PS,340,zh,AG0318,,,,2018-05-14,MG,2020-04-05,DP
W0171,PS00341,PS,341,fr,AG0319,,,,2018-05-15,MG,2020-04-05,DP
W0172,PS00342,PS,342,en,AG0322,,,,2018-05-15,MG,2020-04-05,DP
W0173,PS00343,PS,343,zh,AG0323,,,,2018-05-15,MG,2020-04-05,DP
W0174,PS00344,PS,344,en,AG0329,,Translated by project member,,2018-05-22,MG,2020-04-05,DP
W0175,PS00345,PS,345,en,AG0330,,first published 1979 in Taibei,,2018-05-22,MG,2020-04-05,DP
W0176,PS00346,PS,346,en,AG0331,,and AG0332,,2018-05-22,MG,2020-04-05,DP
W0177,PS00347,PS,347,fr,AG0333,,,,2018-05-22,MG,2020-04-05,DP
W0178,PS00348,PS,348,de,AG0334,,,,2018-05-22,MG,2020-04-05,DP
W0179,PS00349,PS,349,en,AG0336,,,,2018-05-28,MG,2020-04-05,DP
W0180,PS00350,PS,350,fr,AG0342,,,,2018-05-28,MG,2020-04-05,DP
W0181,PS00351,PS,351,fr,AG0342,,,,2018-05-29,MG,2020-04-05,DP
W0182,PS00352,PS,352,en,AG0345,,earlier editions were published in Taipei in 1955,,2018-06-01,MG,2020-04-05,DP
W0183,PS00353,PS,353,fr,AG0346,,,,2018-06-01,MG,2020-04-05,DP
W0184,PS00354,PS,354,en,AG0347,,,,2018-06-01,MG,2020-04-05,DP
W0185,PS00355,PS,355,en,AG0286,,first russian publication in 1825,,2018-06-04,MG,2020-04-05,DP
W0186,PS00356,PS,356,en,AG0286,,,,2018-06-04,MG,2020-04-05,DP
W0187,PS00357,PS,357,en,AG0286,,,,2018-06-04,MG,2020-04-05,DP
W0188,PS00358,PS,358,en,AG0348,,,,2018-06-04,MG,2020-04-05,DP
W0189,PS00359,PS,359,en,AG0351,,,,2018-06-05,MG,2020-04-05,DP
W0190,PS00360,PS,360,en,AG0352,,,,2018-06-05,MG,2020-04-05,DP
W0191,PS00361,PS,361,en,AG0383,,,,2018-05-31,DM,2020-04-05,DP
W0192,PS00362,PS,362,fr,AG0385,,,,2018-05-31,DM,2020-04-05,DP
W0193,PS00363,PS,363,en,AG0386,,,,2018-05-31,DM,2020-04-05,DP
W0194,PS00364,PS,364,en,AG0386,,,,2018-05-31,DM,2020-04-05,DP
W0195,PS00365,PS,365,de,AG0387,,,,2018-05-31,DM,2020-04-05,DP
W0196,PS00366,PS,366,en,AG0391,,,,2018-05-31,DM,2020-04-05,DP
W0197,PS00367,PS,367,en,AG0301,,,,2018-05-31,DM,2020-04-05,DP
W0198,PS00368,PS,368,en,AG0256,,,,2018-06-01,DM,2020-04-05,DP
W0199,PS00369,PS,369,en,AG0395,,,,2018-06-01,DM,2020-04-05,DP
W0200,PS00370,PS,370,en,AG0398,,,,2018-08-06,DM,2020-04-05,DP
W0201,PS00371,PS,371,en,AG0401,,The book was published in the USSR in 1956/57. It took only two years for it to be translated and published in China.,,2018-08-06,DM,2020-04-05,DP
W0202,PS00372,PS,372,en,AG0402,,Title translation needed.,,2018-11-15,DM,2020-04-05,DP
W0203,PS00373,PS,373,en,AG0403,,,,2018-11-15,DM,2020-04-05,DP
W0204,PS00374,PS,374,en,AG0403,,Translated by project member.,,2018-11-15,DM,2020-04-05,DP
W0205,PS00375,PS,375,en,AG0404,,Official English translation missing.,,2018-11-17,DM,2020-04-05,DP
W0206,PS00376,PS,376,en,AG0405,,,,2018-11-17,DM,2020-04-05,DP
W0207,PS00377,PS,377,en,AG0406,,,,2018-11-17,DM,2020-04-05,DP
W0208,PS00379,PS,379,de,AG0410,,,,2019-01-08,DM,2020-04-05,DP
W0209,PS00380,PS,380,en,AG0169,,,,2019-01-08,DM,2020-04-05,DP
W0210,PS00381,PS,381,en,AG0412,,,,2019-01-08,DM,2020-04-05,DP
W0211,PS00382,PS,382,en,AG0264,,,,2019-01-08,DM,2020-04-05,DP
W0212,PS00383,PS,383,en,AG0413,,,,2019-01-08,DM,2020-04-05,DP
W0213,PS00384,PS,384,en,AG0414,,,,2019-01-08,DM,2020-04-05,DP
W0214,PS00385,PS,385,en,AG0414,,,,2019-01-08,DM,2020-04-05,DP
W0215,PS00386,PS,386,en,AG0416,,,,2019-01-08,DM,2020-04-05,DP
W0216,PS00387,PS,387,en,AG0417,,,,2019-01-08,DM,2020-04-05,DP
W0217,PS00401,PS,401,fr,AG0443,,,,2018-04-26,WH,2020-04-05,DP
W0218,PS00402,PS,402,de,AG0444,,,,2018-04-26,WH,2020-04-05,DP
W0219,PS00403,PS,403,en,AG0168,,,,2018-05-02,WH,2020-04-05,DP
W0220,PS00404,PS,404,zh,AG0168,,,,2018-05-03,WH,2020-04-05,DP
W0221,PS00405,PS,405,en,AG0420,,,,2018-05-03,WH,2020-04-05,DP
W0222,PS00406,PS,406,en,AG0421,,,,2018-05-03,WH,2020-04-05,DP
W0223,PS00407,PS,407,en,AG0423,,,,2018-06-21,WH,2020-04-05,DP
W0224,PS00408,PS,408,en,AG0054,,,,2018-06-21,WH,2020-04-05,DP
W0225,PS00409,PS,409,en,AG0424,,,,2018-07-09,WH,2020-04-05,DP
W0226,PS00410,PS,410,en,AG0054,,,,2018-07-09,WH,2020-04-05,DP
W0227,PS00411,PS,411,en,AG0054,,,,2018-07-10,WH,2020-04-05,DP
W0228,PS00412,PS,412,en,AG0054,,,,2018-07-10,WH,2020-04-05,DP
W0229,PS00413,PS,413,en,AG0425,,,,2018-07-10,WH,2020-04-05,DP
W0230,PS00414,PS,414,en,AG0237,,,,2018-07-12,WH,2020-04-05,DP
W0231,PS00451,PS,451,en,AG0352,,,,2018-06-05,MG,2020-04-05,DP
W0232,PS00452,PS,452,zh,AG0353,,,,2018-06-05,MG,2020-04-05,DP
W0233,PS00453,PS,453,en,AG0354,,,,2018-06-06,MG,2020-04-05,DP
W0234,PS00454,PS,454,en,AG0358,,,,2018-06-11,MG,2020-04-05,DP
W0235,PS00455,PS,455,en,AG0358,,,,2018-06-11,MG,2020-04-05,DP
W0236,PS00456,PS,456,en,AG0360,,,,2018-06-11,MG,2020-04-05,DP
W0237,PS00457,PS,457,en,AG0364,,,,2018-06-12,MG,2020-04-05,DP
W0238,PS00458,PS,458,en,AG0204,,,,2018-06-12,MG,2020-04-05,DP
W0239,PS00459,PS,459,en,AG0368,,,,2018-06-19,MG,2020-04-05,DP
W0240,PS00460,PS,460,en,AG0370,,,,2018-06-25,MG,2020-04-05,DP
W0241,PS00461,PS,461,en,AG0059,,,,2018-06-25,MG,2020-04-05,DP
W0242,PS00462,PS,462,zh,AG0001,,http://www.ziyexing.com/luxun/luxun_zw_hgj_12.htm,,2018-06-26,MG,2020-04-05,DP
W0243,PS00463,PS,463,en,AG0001,,written in 1925,,2018-06-26,MG,2020-04-05,DP
W0244,PS00464,PS,464,zh,AG0626,,,,2018-06-26,MG,2020-04-05,DP
W0245,PS00465,PS,465,en,AG0001,,Written 1926-04-01,,2018-06-28,MG,2020-04-05,DP
W0246,PS00466,PS,466,en,AG0375,,,,2018-06-28,MG,2020-04-05,DP
W0247,PS00467,PS,467,en,AG0377,,,,2018-07-03,MG,2020-04-05,DP
W0248,PS00468,PS,468,en,AG0382,,,,2018-07-04,MG,2020-04-05,DP
W0249,PS00469,PS,469,en,AG0429,,,,2018-07-09,MG,2020-04-05,DP
W0250,PS00470,PS,470,en,AG0150,,written in 1963,,2018-07-10,MG,2020-04-05,DP
W0251,PS00471,PS,471,en,AG0150,,,,2018-07-10,MG,2020-04-05,DP
W0252,PS00472,PS,472,en,AG0150,,,,2018-07-10,MG,2020-04-05,DP
W0253,PS00473,PS,473,en,AG0150,,written in 1935,,2018-07-10,MG,2020-04-05,DP
W0254,PS00474,PS,474,en,AG0150,,,,2018-07-10,MG,2020-04-05,DP
W0255,PS00475,PS,475,en,AG0150,,,,2018-07-10,MG,2020-04-05,DP
W0256,PS00476,PS,476,en,AG0150,,,,2018-07-10,MG,2020-04-05,DP
W0257,PS00477,PS,477,en,AG0432,,,,2018-07-13,MG,2020-04-05,DP
W0258,PS00478,PS,478,de,AG0157,,,,2018-07-13,MG,2020-04-05,DP
W0259,PS00479,PS,479,de,AG0157,,,,2018-07-13,MG,2020-04-05,DP
W0260,PS00480,PS,480,de,AG0157,,,,2018-07-13,MG,2020-04-05,DP
W0261,PS00481,PS,481,fr,AG0434,,,,2018-07-17,MG,2020-04-05,DP
W0262,PS00482,PS,482,de,AG0427,,,,2018-07-17,MG,2020-04-05,DP
W0263,PS00483,PS,483,fr,AG0437,,,,2018-07-20,MG,2020-04-05,DP
W0264,PS00484,PS,484,en,AG0439,,,,2018-07-20,MG,2020-04-05,DP
W0265,PS00485,PS,485,fr,AG0440,,,,2018-07-23,MG,2020-04-05,DP
W0266,PS00486,PS,486,en,AG0447,,Translated by project member.,,2018-07-30,MG,2020-04-05,DP
W0267,PS00487,PS,487,en,AG0448,,,,2018-08-16,MG,2020-04-05,DP
W0268,PS00488,PS,488,en,AG0449,,,,2018-08-16,MG,2020-04-05,DP
W0269,PS00489,PS,489,en,AG0203,,,,2018-10-16,LH,2020-04-05,DP
W0270,PS00490,PS,490,en,AG0626,,Translated by project member.,,2018-10-24,MG,2020-04-05,DP
W0271,PS00491,PS,491,en,AG0626,,Translated by project member.,,2018-10-24,MG,2020-04-05,DP
W0272,PS00492,PS,492,en,AG0626,,Translated by project member.,,2018-10-24,MG,2020-04-05,DP
W0273,PS00493,PS,493,en,AG0626,,Translated by project member.,,2018-10-24,MG,2020-04-05,DP
W0274,PS00632,PS,632,en,AG0626,,,,2018-10-24,MG,2021-08-12,DP
W0275,PS00494,PS,494,en,AG0467,,the poem was written in 1927,,2018-11-14,MG,2020-04-05,DP
W0276,PS00500,PS,500,en,AG0626,,,,2018-11-03,WH,2020-04-05,DP
W0277,PS00501,PS,501,en,AG0626,,Translated by project member.,,2018-11-03,WH,2020-04-05,DP
W0278,PS00502,PS,502,en,AG0626,,Translated by project member.,,2018-11-03,WH,2020-04-05,DP
W0279,PS00503,PS,503,en,AG0626,,Translated by project member.,,2018-11-03,WH,2020-04-05,DP
W0280,PS00504,PS,504,en,AG0626,,Translated by project member.,,2018-11-04,WH,2020-04-05,DP
